25.8,35.4,normal
25.8,41.0,normal
25.8,40.2,normal
25.8,37.0,normal
25.8,39.2,normal
25.8,38.6,normal
25.8,37.4,normal
25.8,38.7,normal
25.8,37.8,normal
25.8,40.3,normal
25.8,38.0,normal
25.8,37.9,normal
25.8,37.8,normal
25.8,34.9,normal
25.8,32.9,normal
25.8,32.3,normal
25.8,35.0,normal
25.8,37.1,normal
25.8,36.4,normal
25.8,39.4,normal
25.8,34.5,normal
25.8,37.3,normal
25.8,32.6,normal
25.8,40.0,normal
25.8,38.6,normal
25.8,40.9,normal
25.8,37.9,normal
25.8,32.2,normal
25.8,33.6,normal
25.8,36.9,normal
25.8,36.1,normal
25.8,39.1,normal
25.8,33.5,normal
25.8,38.1,normal
25.8,35.5,normal
25.8,40.5,normal
25.9,34.5,normal
25.9,36.8,normal
25.9,38.5,normal
25.9,37.1,normal
25.9,40.5,normal
25.9,36.3,normal
25.9,40.9,normal
25.9,36.4,normal
25.9,38.7,normal
25.9,35.9,normal
25.9,36.7,normal
25.9,37.6,normal
25.9,36.0,normal
25.9,35.3,normal
25.9,40.4,normal
25.9,35.1,normal
25.9,33.1,normal
25.9,38.5,normal
25.9,33.1,normal
25.9,32.3,normal
25.9,32.4,normal
25.9,33.4,normal
25.9,40.6,normal
25.9,40.7,normal
25.9,36.5,normal
25.9,37.4,normal
25.9,32.4,normal
25.9,38.5,normal
25.9,39.5,normal
25.9,36.4,normal
25.9,40.6,normal
25.9,38.4,normal
25.9,33.9,normal
25.9,34.3,normal
25.9,40.2,normal
25.9,38.9,normal
25.9,38.6,normal
25.9,38.3,normal
25.9,32.2,normal
25.9,40.2,normal
25.9,34.0,normal
25.9,34.8,normal
25.9,33.6,normal
25.9,40.7,normal
25.9,36.2,normal
25.9,40.0,normal
25.9,38.2,normal
25.9,35.2,normal
25.9,33.3,normal
25.9,40.5,normal
25.9,35.4,normal
25.9,33.6,normal
25.9,37.9,normal
25.9,37.5,normal
25.9,35.5,normal
25.9,34.9,normal
25.9,38.4,normal
25.9,39.3,normal
25.9,39.8,normal
25.9,40.0,normal
25.9,37.4,normal
25.9,35.4,normal
25.9,34.5,normal
25.9,40.4,normal
25.9,33.3,normal
25.9,33.0,normal
25.9,33.1,normal
25.9,35.6,normal
25.9,32.9,normal
25.9,35.0,normal
25.9,33.1,normal
25.9,38.2,normal
25.9,32.7,normal
25.9,40.7,normal
25.9,37.5,normal
25.9,36.3,normal
25.9,40.2,normal
25.9,34.5,normal
25.9,32.1,normal
25.9,34.1,normal
25.9,39.0,normal
25.9,32.1,normal
25.9,40.6,normal
25.9,33.5,normal
25.9,37.7,normal
25.9,40.0,normal
25.9,38.9,normal
25.9,35.6,normal
25.9,33.4,normal
25.9,38.0,normal
25.9,35.9,normal
25.9,34.8,normal
25.9,40.5,normal
25.9,32.4,normal
25.9,34.9,normal
25.9,41.0,normal
25.9,40.7,normal
25.9,32.8,normal
25.9,37.0,normal
25.9,39.1,normal
25.9,34.1,normal
25.9,37.2,normal
25.9,32.4,normal
25.9,38.2,normal
25.9,33.9,normal
25.9,40.9,normal
25.9,36.9,normal
25.9,32.0,normal
25.9,38.4,normal
25.9,37.3,normal
25.9,39.9,normal
25.9,39.0,normal
25.9,40.3,normal
25.9,34.3,normal
25.9,32.1,normal
25.9,33.3,normal
25.9,34.8,normal
25.9,37.2,normal
25.9,36.0,normal
25.9,39.6,normal
25.9,36.4,normal
25.9,39.7,normal
25.9,35.1,normal
25.9,35.7,normal
25.9,40.2,normal
25.9,34.5,normal
25.9,33.5,normal
25.9,40.6,normal
25.9,36.5,normal
25.9,37.4,normal
25.9,39.9,normal
25.9,33.4,normal
25.9,37.8,normal
25.9,37.2,normal
25.9,34.6,normal
25.9,32.3,normal
25.9,39.3,normal
25.9,36.8,normal
25.9,33.0,normal
25.9,35.1,normal
25.9,38.9,normal
25.9,35.1,normal
25.9,40.5,normal
25.9,40.3,normal
25.9,37.0,normal
25.9,36.1,normal
25.9,40.9,normal
25.9,34.3,normal
25.9,33.1,normal
25.9,41.0,normal
25.9,38.0,normal
25.9,32.1,normal
25.9,34.2,normal
25.9,39.3,normal
25.9,39.2,normal
25.9,40.2,normal
26.0,40.5,normal
26.0,35.8,normal
26.0,36.2,normal
26.0,37.2,normal
26.1,34.4,normal
26.1,40.1,normal
26.1,35.9,normal
26.1,34.6,normal
26.3,35.5,normal
26.3,38.8,normal
26.3,35.6,normal
26.3,39.7,normal
26.5,36.2,normal
26.5,39.3,normal
26.5,38.7,normal
26.5,37.5,normal
26.7,36.4,normal
26.7,38.0,normal
26.7,38.7,normal
26.7,36.8,normal
26.9,38.6,normal
26.9,39.5,normal
26.9,39.8,normal
26.9,36.4,normal
27.1,40.2,normal
27.1,37.5,normal
27.1,32.6,normal
27.1,39.3,normal
27.4,38.1,normal
27.4,38.5,normal
27.4,33.6,normal
27.4,32.7,normal
27.7,39.6,normal
27.7,36.1,normal
27.7,38.3,normal
27.7,35.4,normal
28.0,32.7,normal
28.0,40.2,normal
28.0,32.3,normal
28.0,39.7,normal
28.2,36.4,normal
